# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 330K of event 'LLC-loads'
# Event count (approx.): 233442599
#
# Overhead  Command      Shared Object       Symbol                                        
# ........  ...........  ..................  ..............................................
#
    92.73%  no_prefetch  no_prefetch         [.] gcnforward
     5.57%  no_prefetch  [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.17%  no_prefetch  [kernel.kallsyms]   [k] page_fault
     0.13%  no_prefetch  [kernel.kallsyms]   [k] update_curr
     0.10%  no_prefetch  [kernel.kallsyms]   [k] perf_iterate_ctx
     0.10%  no_prefetch  [kernel.kallsyms]   [k] perf_event_task_tick
     0.09%  no_prefetch  [kernel.kallsyms]   [k] cpuacct_account_field
     0.06%  no_prefetch  [kernel.kallsyms]   [k] rmqueue
     0.06%  no_prefetch  [kernel.kallsyms]   [k] account_user_time
     0.05%  no_prefetch  [kernel.kallsyms]   [k] free_pages_and_swap_cache
     0.04%  no_prefetch  [kernel.kallsyms]   [k] find_get_entry
     0.04%  no_prefetch  [kernel.kallsyms]   [k] task_tick_fair
     0.03%  no_prefetch  [kernel.kallsyms]   [k] mutex_unlock
     0.03%  no_prefetch  [kernel.kallsyms]   [k] hrtimer_interrupt
     0.03%  no_prefetch  [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
     0.03%  no_prefetch  [kernel.kallsyms]   [k] __cgroup_account_cputime_field
     0.03%  no_prefetch  [kernel.kallsyms]   [k] interrupt_entry
     0.02%  no_prefetch  [kernel.kallsyms]   [k] cpuacct_charge
     0.02%  no_prefetch  [kernel.kallsyms]   [k] ktime_get_update_offsets_now
     0.02%  no_prefetch  [kernel.kallsyms]   [k] rcu_sched_clock_irq
     0.02%  no_prefetch  [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.02%  no_prefetch  [kernel.kallsyms]   [k] hrtimer_active
     0.02%  no_prefetch  [kernel.kallsyms]   [k] perf_event_alloc
     0.02%  no_prefetch  [kernel.kallsyms]   [k] find_idlest_cpu
     0.02%  no_prefetch  [kernel.kallsyms]   [k] update_load_avg
     0.02%  no_prefetch  [kernel.kallsyms]   [k] _raw_spin_lock
     0.02%  no_prefetch  [kernel.kallsyms]   [k] update_cfs_group
     0.02%  no_prefetch  [kernel.kallsyms]   [k] __update_load_avg_se
